id;nom;metier;ville;sud_est;taille;groupe;derniere_commande;jours_depuis_derniere_commande;panier_moyen_eur;commandes_12_mois;clients_finaux
R0012;Atelier Cardinal;sérigraphe;Troyes;non;grand;actif;2026-05-29;3;1190;250;"brasseries et bars ; entreprises"
R0025;Imprim'Origami;sérigraphe;Lyon;oui;grand;actif;2026-05-28;4;1020;121;"clubs sportifs ; associations"
R0028;Studio Atlantique;agence;Caen;non;grand;actif;2026-05-30;2;1045;127;"entreprises ; clubs sportifs"
R0045;Sérigraphie Sud Barcelone;sérigraphe;Barcelone;non;grand;dormant;2026-01-31;121;1676;125;"festivals ; entreprises"
R0047;Maison Ardoise Amiens;brodeur;Amiens;non;grand;dormant;2025-11-11;202;2190;109;"clubs sportifs ; festivals"
R0056;Marquage Vertigo;sérigraphe;Marseille;oui;grand;actif;2026-05-31;1;1056;228;"clubs sportifs ; entreprises"
R0067;Sérigraphie Origami;sérigraphe;Niort;non;grand;dormant;2026-03-22;71;1309;139;"clubs sportifs ; associations"
R0070;Atelier Lumière;sérigraphe;Tours;non;grand;actif;2026-05-29;3;1757;233;"clubs sportifs ; associations"
R0077;Studio Calanque Caen;sérigraphe;Caen;non;grand;dormant;2026-02-23;98;2112;150;"festivals ; associations"
R0088;Atelier Tramontane;agence;Clermont-Ferrand;non;grand;actif;2026-05-27;5;1404;131;"brasseries et bars ; clubs sportifs"
R0089;Point Ardoise Bilbao;brodeur;Bilbao;non;grand;actif;2026-05-25;7;2009;186;"brasseries et bars ; associations"
R0108;Marquage Lumière;sérigraphe;Toulouse;non;grand;dormant;2025-10-10;234;1302;77;"festivals ; entreprises"
R0116;Imprim'Granit Pau;sérigraphe;Pau;non;grand;actif;2026-05-30;2;2223;179;"clubs sportifs ; entreprises"
R0117;Studio Ocre Strasbourg;sérigraphe;Strasbourg;non;grand;dormant;2026-02-12;109;1815;145;"clubs sportifs ; entreprises"
R0121;Maison Pastel;brodeur;Bayonne;non;grand;actif;2026-05-26;6;2320;215;"entreprises ; brasseries et bars"
R0142;Studio Indigo Mulhouse;sérigraphe;Mulhouse;non;moyen;dormant;2026-03-04;89;953;54;"associations ; brasseries et bars"
R0143;Broderie Sarment;brodeur;Dijon;non;grand;actif;2026-05-31;1;1103;183;"associations ; clubs sportifs"
R0147;Print Loire Milan;imprimeur;Milan;non;grand;dormant;2026-02-05;116;1580;146;"clubs sportifs ; collectivités"
R0165;Sérigraphie Garonne Milan;sérigraphe;Milan;non;grand;dormant;2026-02-02;119;2345;128;"entreprises ; festivals"
R0172;Broderie Tandem Lausanne;brodeur;Lausanne;oui;grand;dormant;2025-10-14;230;1143;54;"clubs sportifs ; brasseries et bars"
R0183;Agence Nord Besançon;agence;Besançon;non;grand;actif;2026-05-31;1;1665;223;"brasseries et bars ; clubs sportifs"
R0184;Imprim'Boréal;sérigraphe;Metz;non;grand;actif;2026-05-31;1;951;201;"festivals ; associations"
R0187;Collectif Ardoise;agence;Niort;non;grand;actif;2026-05-27;5;2184;195;"brasseries et bars ; entreprises"
R0202;Broderie Atlantique;brodeur;Rouen;non;grand;actif;2026-05-29;3;1205;202;"brasseries et bars ; entreprises"
R0208;Imprim'Cardinal;sérigraphe;Nantes;non;grand;actif;2026-05-26;6;1415;129;"clubs sportifs ; brasseries et bars"
R0209;Maison Estuaire;brodeur;Reims;non;grand;dormant;2026-01-24;128;1792;100;"brasseries et bars ; associations"
R0225;Marquage Zénith;sérigraphe;Namur;non;grand;actif;2026-05-31;1;2083;131;"entreprises ; brasseries et bars"
R0236;Impression Sarment;imprimeur;Perpignan;non;grand;actif;2026-05-31;1;1712;174;"associations ; clubs sportifs"
R0245;Textiprint Mistral;imprimeur;Toulouse;non;grand;actif;2026-05-31;1;2163;183;"festivals ; entreprises"
R0249;Atelier Hélice;sérigraphe;Orléans;non;grand;actif;2026-05-29;3;1290;196;"festivals ; associations"
R0258;Sérigraphie Pixel;sérigraphe;Albi;non;grand;actif;2026-05-31;1;1420;182;"entreprises ; clubs sportifs"
R0296;Agence Vertigo Bruxelles;agence;Bruxelles;non;grand;actif;2026-05-29;3;1403;133;"associations ; clubs sportifs"
R0298;Atelier Trait d'Union;agence;Perpignan;non;grand;dormant;2026-03-09;84;1529;115;"brasseries et bars ; entreprises"
R0311;Brod'Solstice;brodeur;Reims;non;grand;dormant;2025-11-30;183;1132;110;"brasseries et bars ; entreprises"
R0339;Point Faubourg Lyon;brodeur;Lyon;oui;grand;dormant;2025-12-22;161;1630;76;"festivals ; associations"
R0340;Marquage Ardoise;sérigraphe;Perpignan;non;grand;actif;2026-05-31;1;2233;194;"entreprises ; festivals"
R0353;Sérigraphie Faubourg;sérigraphe;Turin;oui;grand;actif;2026-05-26;6;1523;140;"festivals ; brasseries et bars"
R0355;Studio Sarment Perpignan;sérigraphe;Perpignan;non;grand;actif;2026-05-31;1;1295;203;"clubs sportifs ; associations"
R0362;Point Alizé;brodeur;Lyon;oui;grand;dormant;2025-10-16;228;1977;72;"collectivités ; festivals"
R0367;Atelier Zinc;sérigraphe;La Rochelle;non;grand;actif;2026-05-31;1;1689;177;"clubs sportifs ; entreprises"
R0368;Studio Kaolin;sérigraphe;Arras;non;grand;dormant;2025-12-09;174;2255;101;"associations ; clubs sportifs"
R0376;Imprim'Ubac;sérigraphe;Lyon;oui;grand;actif;2026-05-31;1;1676;218;"collectivités ; clubs sportifs"
R0384;Sérigraphie Vertigo Tours;sérigraphe;Tours;non;grand;actif;2026-05-29;3;1672;208;"festivals ; collectivités"
R0393;Studio Vauban;agence;Lyon;oui;grand;dormant;2025-10-05;239;1557;42;"entreprises ; festivals"
R0400;Atelier Perspective Limoges;brodeur;Limoges;non;grand;actif;2026-05-26;6;2298;190;"collectivités ; festivals"
R0454;Séri'Zénith;sérigraphe;La Rochelle;non;grand;actif;2026-05-31;1;1334;166;"associations ; brasseries et bars"
R0463;Atelier Pixel;agence;Limoges;non;grand;dormant;2025-10-09;235;2173;71;"collectivités ; festivals"
R0472;Marquage Jonquille Rouen;sérigraphe;Rouen;non;moyen;actif;2026-05-28;4;950;72;"collectivités ; clubs sportifs"
R0478;Marquage Ypréau Namur;sérigraphe;Namur;non;grand;dormant;2025-11-07;206;2168;105;"clubs sportifs ; entreprises"
R0484;Brod'Calanque Limoges;brodeur;Limoges;non;grand;actif;2026-05-28;4;2092;138;"clubs sportifs ; collectivités"
R0505;Collectif Bleu Marine Besançon;agence;Besançon;non;grand;actif;2026-05-23;9;1789;195;"clubs sportifs ; entreprises"
R0514;Broderie Éclat;brodeur;Nîmes;oui;grand;actif;2026-05-30;2;1610;230;"entreprises ; clubs sportifs"
R0522;Imprim'Basalte;sérigraphe;Tours;non;grand;dormant;2026-01-30;122;2045;122;"associations ; brasseries et bars"
R0555;Atelier Alizé Grenoble;agence;Grenoble;oui;grand;actif;2026-05-31;1;2050;191;"clubs sportifs ; brasseries et bars"
R0575;Sérigraphie Boréal;sérigraphe;Annecy;oui;grand;actif;2026-05-29;3;1279;139;"associations ; festivals"
R0577;Point Pixel Grenoble;brodeur;Grenoble;oui;grand;dormant;2026-03-10;83;1210;175;"clubs sportifs ; associations"
R0580;Les Fils d'Tramontane Poitiers;brodeur;Poitiers;non;grand;dormant;2025-12-12;171;2138;103;"entreprises ; brasseries et bars"
R0626;Maison Faubourg Bruxelles;brodeur;Bruxelles;non;grand;dormant;2026-02-10;111;2119;132;"collectivités ; brasseries et bars"
R0630;Imprimerie Ocre;imprimeur;Grenoble;oui;grand;actif;2026-05-24;8;1519;148;"festivals ; collectivités"
R0648;Maison du Lac;brodeur;Albi;non;grand;dormant;2026-03-11;82;999;185;"clubs sportifs ; associations"
R0672;Studio Faubourg Nîmes;sérigraphe;Nîmes;oui;grand;dormant;2025-12-10;173;1405;57;"brasseries et bars ; associations"
R0681;Textiprint Cardinal Montpellier;imprimeur;Montpellier;oui;grand;dormant;2026-03-01;92;1071;157;"brasseries et bars ; clubs sportifs"
R0689;Séri'du Lac Angers;sérigraphe;Angers;non;grand;actif;2026-05-30;2;1394;151;"brasseries et bars ; entreprises"
R0696;Imprim'Nacre Liège;sérigraphe;Liège;non;grand;actif;2026-05-29;3;2049;169;"entreprises ; brasseries et bars"
R0697;Studio des Volcans;sérigraphe;Brest;non;grand;dormant;2026-02-12;109;2098;170;"associations ; brasseries et bars"
R0705;Atelier Vermeil Genève;agence;Genève;oui;grand;dormant;2026-02-10;111;1652;156;"collectivités ; clubs sportifs"
R0711;Atelier des Volcans Reims;sérigraphe;Reims;non;grand;dormant;2025-12-26;157;1434;117;"festivals ; entreprises"
R0736;Atelier Deux Rives;agence;Lyon;oui;grand;dormant;2026-02-16;105;1466;135;"brasseries et bars ; festivals"
