id;nom;metier;ville;sud_est;taille;groupe;derniere_commande;jours_depuis_derniere_commande;panier_moyen_eur;commandes_12_mois;clients_finaux;a_achete_tshirts_ete_2025;clientele_exposee;opposition_prospection;dans_la_cible
R0001;Les Fils d'Cardinal;brodeur;Troyes;non;moyen;actif;2026-05-30;2;797;93;"brasseries et bars ; associations";oui;oui;non;non
R0002;Atelier des Volcans;brodeur;Saint-Étienne;oui;petit;actif;2026-05-19;13;249;52;"associations ; clubs sportifs";oui;oui;non;non
R0003;Les Fils d'Ocre;brodeur;Bayonne;non;moyen;actif;2026-05-30;2;555;77;"associations ; clubs sportifs";oui;oui;non;non
R0004;Agence Trait d'Union Nantes;agence;Nantes;non;petit;dormant;2026-02-28;93;245;43;"clubs sportifs ; entreprises";oui;oui;non;non
R0005;Atelier Granit Vannes;sérigraphe;Vannes;non;petit;actif;2026-05-30;2;272;51;"clubs sportifs ; festivals";oui;oui;non;non
R0006;Les Fils d'Indigo;brodeur;Reims;non;moyen;dormant;2025-07-17;319;534;16;"festivals ; collectivités";oui;oui;non;non
R0007;Marquage Solstice Clermont-Ferrand;sérigraphe;Clermont-Ferrand;non;moyen;actif;2026-05-31;1;554;117;"clubs sportifs ; entreprises";oui;oui;non;non
R0008;Imprim'Horizon;sérigraphe;Nancy;non;moyen;dormant;2025-08-02;303;727;14;"clubs sportifs ; brasseries et bars";oui;oui;non;non
R0009;Imprim'Tandem;sérigraphe;Toulouse;non;petit;dormant;2026-01-31;121;363;22;"clubs sportifs ; associations";non;oui;non;non
R0010;Point Alizé Luxembourg;brodeur;Luxembourg;non;petit;dormant;2025-07-12;324;443;4;"clubs sportifs ; entreprises";non;oui;non;non
R0011;Collectif Grand Angle;agence;Strasbourg;non;petit;actif;2026-05-29;3;207;52;"entreprises ; festivals";oui;oui;non;non
R0012;Atelier Cardinal;sérigraphe;Troyes;non;grand;actif;2026-05-29;3;1190;250;"brasseries et bars ; entreprises";oui;oui;non;oui
R0013;Les Fils d'Zénith;brodeur;Strasbourg;non;petit;actif;2026-05-29;3;252;37;"associations ; collectivités";oui;non;non;non
R0014;Textiprint Bleu Marine;imprimeur;Lyon;oui;moyen;actif;2026-05-31;1;760;104;"festivals ; associations";oui;oui;non;non
R0015;Atelier Cardinal Grenoble;sérigraphe;Grenoble;oui;moyen;dormant;2025-11-18;195;478;61;"collectivités ; festivals";oui;oui;non;non
R0016;Séri'Éclat;sérigraphe;Nantes;non;petit;dormant;2026-03-28;65;249;37;"associations ; collectivités";oui;non;non;non
R0017;Atelier Kaolin;sérigraphe;Avignon;oui;moyen;dormant;2026-02-04;117;863;62;"entreprises ; brasseries et bars";oui;oui;non;non
R0018;Atelier Mistral Metz;brodeur;Metz;non;petit;actif;2026-05-25;7;182;33;"festivals ; associations";oui;oui;non;non
R0019;Imprim'Loire Pau;sérigraphe;Pau;non;petit;dormant;2025-08-19;286;323;9;"clubs sportifs ; festivals";oui;oui;non;non
R0020;Atelier Ubac;brodeur;Brest;non;petit;actif;2026-05-25;7;220;40;"associations ; entreprises";oui;non;non;non
R0021;Sérigraphie Horizon Angers;sérigraphe;Angers;non;petit;dormant;2026-02-28;93;266;37;"festivals ; associations";oui;oui;non;non
R0022;Atelier Éclat;brodeur;Reims;non;petit;dormant;2025-09-06;268;327;8;"entreprises ; festivals";oui;oui;non;non
