reference;produit;libelle;gamme;matiere;grammage_g;coloris;tailles;fournisseur;prix_achat_eur;prix_vente_revendeur_eur;taux_de_marque_pct;delai_reappro_semaines;stock_total
TS-150-BLA;TS-150;T-shirt classique 150 g;T-shirts;coton peigné;150;blanc;XS S M L XL XXL;Textil Nova;1.57;2.53;37.9;8;1805
TS-150-NOI;TS-150;T-shirt classique 150 g;T-shirts;coton peigné;150;noir;XS S M L XL XXL;Textil Nova;1.75;2.82;37.9;8;3209
TS-150-MAR;TS-150;T-shirt classique 150 g;T-shirts;coton peigné;150;marine;XS S M L XL XXL;Textil Nova;1.75;2.82;37.9;8;1915
TS-150-GRI;TS-150;T-shirt classique 150 g;T-shirts;coton peigné;150;gris chiné;XS S M L XL XXL;Textil Nova;1.75;2.82;37.9;8;1079
TS-150-ROU;TS-150;T-shirt classique 150 g;T-shirts;coton peigné;150;rouge;XS S M L XL XXL;Textil Nova;1.75;2.82;37.9;8;1649
TS-150-VER;TS-150;T-shirt classique 150 g;T-shirts;coton peigné;150;vert bouteille;XS S M L XL XXL;Textil Nova;1.75;2.82;37.9;8;1600
TS-150-BLE;TS-150;T-shirt classique 150 g;T-shirts;coton peigné;150;bleu royal;XS S M L XL XXL;Textil Nova;1.75;2.82;37.9;8;1183
TS-150-SAB;TS-150;T-shirt classique 150 g;T-shirts;coton peigné;150;sable;XS S M L XL XXL;Textil Nova;1.75;2.82;37.9;8;1104
TS-165-BLA;TS-165;T-shirt premium 165 g;T-shirts;coton peigné;165;blanc;XS S M L XL XXL;Textil Nova;1.89;3.05;38.0;8;2908
TS-165-NOI;TS-165;T-shirt premium 165 g;T-shirts;coton peigné;165;noir;XS S M L XL XXL;Textil Nova;2.1;3.39;38.1;8;2935
TS-165-MAR;TS-165;T-shirt premium 165 g;T-shirts;coton peigné;165;marine;XS S M L XL XXL;Textil Nova;2.1;3.39;38.1;8;2519
TS-165-GRI;TS-165;T-shirt premium 165 g;T-shirts;coton peigné;165;gris chiné;XS S M L XL XXL;Textil Nova;2.1;3.39;38.1;8;1566
TS-165-ROU;TS-165;T-shirt premium 165 g;T-shirts;coton peigné;165;rouge;XS S M L XL XXL;Textil Nova;2.1;3.39;38.1;8;1714
TS-165-VER;TS-165;T-shirt premium 165 g;T-shirts;coton peigné;165;vert bouteille;XS S M L XL XXL;Textil Nova;2.1;3.39;38.1;8;1248
TS-165-BLE;TS-165;T-shirt premium 165 g;T-shirts;coton peigné;165;bleu royal;XS S M L XL XXL;Textil Nova;2.1;3.39;38.1;8;1116
TS-165-SAB;TS-165;T-shirt premium 165 g;T-shirts;coton peigné;165;sable;XS S M L XL XXL;Textil Nova;2.1;3.39;38.1;8;1040
TS-190-BLA;TS-190;T-shirt lourd 190 g;T-shirts;coton peigné;190;blanc;XS S M L XL XXL;Textil Nova;2.34;3.77;37.9;8;3200
TS-190-NOI;TS-190;T-shirt lourd 190 g;T-shirts;coton peigné;190;noir;XS S M L XL XXL;Textil Nova;2.6;4.19;37.9;8;2243
TS-190-MAR;TS-190;T-shirt lourd 190 g;T-shirts;coton peigné;190;marine;XS S M L XL XXL;Textil Nova;2.6;4.19;37.9;8;2942
