reference;libelle;entrepot;ville;taille;quantite
TS-165-BLA;T-shirt premium 165 g blanc;LIL;Lille;XS;77
TS-165-BLA;T-shirt premium 165 g blanc;LIL;Lille;S;206
TS-165-BLA;T-shirt premium 165 g blanc;LIL;Lille;M;361
TS-165-BLA;T-shirt premium 165 g blanc;LIL;Lille;L;150
TS-165-BLA;T-shirt premium 165 g blanc;LIL;Lille;XL;92
TS-165-BLA;T-shirt premium 165 g blanc;LIL;Lille;XXL;103
TS-165-BLA;T-shirt premium 165 g blanc;LYO;Lyon;XS;68
TS-165-BLA;T-shirt premium 165 g blanc;LYO;Lyon;S;182
TS-165-BLA;T-shirt premium 165 g blanc;LYO;Lyon;M;319
TS-165-BLA;T-shirt premium 165 g blanc;LYO;Lyon;L;133
TS-165-BLA;T-shirt premium 165 g blanc;LYO;Lyon;XL;81
TS-165-BLA;T-shirt premium 165 g blanc;LYO;Lyon;XXL;91
TS-165-BLA;T-shirt premium 165 g blanc;BCN;Barcelone;XS;45
TS-165-BLA;T-shirt premium 165 g blanc;BCN;Barcelone;S;121
TS-165-BLA;T-shirt premium 165 g blanc;BCN;Barcelone;M;212
TS-165-BLA;T-shirt premium 165 g blanc;BCN;Barcelone;L;88
TS-165-BLA;T-shirt premium 165 g blanc;BCN;Barcelone;XL;54
TS-165-BLA;T-shirt premium 165 g blanc;BCN;Barcelone;XXL;60
TS-165-BLA;T-shirt premium 165 g blanc;MIL;Milan;XS;36
TS-165-BLA;T-shirt premium 165 g blanc;MIL;Milan;S;97
TS-165-BLA;T-shirt premium 165 g blanc;MIL;Milan;M;170
TS-165-BLA;T-shirt premium 165 g blanc;MIL;Milan;L;71
TS-165-BLA;T-shirt premium 165 g blanc;MIL;Milan;XL;43
TS-165-BLA;T-shirt premium 165 g blanc;MIL;Milan;XXL;48
TS-165-EU-BLA;T-shirt premium 165 g · fabrication Portugal blanc;LIL;Lille;XS;130
TS-165-EU-BLA;T-shirt premium 165 g · fabrication Portugal blanc;LIL;Lille;S;348
TS-165-EU-BLA;T-shirt premium 165 g · fabrication Portugal blanc;LIL;Lille;M;609
TS-165-EU-BLA;T-shirt premium 165 g · fabrication Portugal blanc;LIL;Lille;L;565
TS-165-EU-BLA;T-shirt premium 165 g · fabrication Portugal blanc;LIL;Lille;XL;348
TS-165-EU-BLA;T-shirt premium 165 g · fabrication Portugal blanc;LIL;Lille;XXL;174
TS-165-EU-BLA;T-shirt premium 165 g · fabrication Portugal blanc;LYO;Lyon;XS;115
TS-165-EU-BLA;T-shirt premium 165 g · fabrication Portugal blanc;LYO;Lyon;S;307
TS-165-EU-BLA;T-shirt premium 165 g · fabrication Portugal blanc;LYO;Lyon;M;537
TS-165-EU-BLA;T-shirt premium 165 g · fabrication Portugal blanc;LYO;Lyon;L;499
TS-165-EU-BLA;T-shirt premium 165 g · fabrication Portugal blanc;LYO;Lyon;XL;307
TS-165-EU-BLA;T-shirt premium 165 g · fabrication Portugal blanc;LYO;Lyon;XXL;153
TS-165-EU-BLA;T-shirt premium 165 g · fabrication Portugal blanc;BCN;Barcelone;XS;76
TS-165-EU-BLA;T-shirt premium 165 g · fabrication Portugal blanc;BCN;Barcelone;S;204
TS-165-EU-BLA;T-shirt premium 165 g · fabrication Portugal blanc;BCN;Barcelone;M;358
TS-165-EU-BLA;T-shirt premium 165 g · fabrication Portugal blanc;BCN;Barcelone;L;332
TS-165-EU-BLA;T-shirt premium 165 g · fabrication Portugal blanc;BCN;Barcelone;XL;204
TS-165-EU-BLA;T-shirt premium 165 g · fabrication Portugal blanc;BCN;Barcelone;XXL;102
TS-165-EU-BLA;T-shirt premium 165 g · fabrication Portugal blanc;MIL;Milan;XS;0
TS-165-EU-BLA;T-shirt premium 165 g · fabrication Portugal blanc;MIL;Milan;S;0
TS-165-EU-BLA;T-shirt premium 165 g · fabrication Portugal blanc;MIL;Milan;M;0
TS-165-EU-BLA;T-shirt premium 165 g · fabrication Portugal blanc;MIL;Milan;L;0
TS-165-EU-BLA;T-shirt premium 165 g · fabrication Portugal blanc;MIL;Milan;XL;0
TS-165-EU-BLA;T-shirt premium 165 g · fabrication Portugal blanc;MIL;Milan;XXL;0
