reference;gamme;entrepot;ville;taille;quantite
TS-150-BLA;T-shirts;LIL;Lille;XS;37
TS-150-BLA;T-shirts;LIL;Lille;S;98
TS-150-BLA;T-shirts;LIL;Lille;M;172
TS-150-BLA;T-shirts;LIL;Lille;L;160
TS-150-BLA;T-shirts;LIL;Lille;XL;98
TS-150-BLA;T-shirts;LIL;Lille;XXL;49
TS-150-BLA;T-shirts;LYO;Lyon;XS;32
TS-150-BLA;T-shirts;LYO;Lyon;S;87
TS-150-BLA;T-shirts;LYO;Lyon;M;152
TS-150-BLA;T-shirts;LYO;Lyon;L;141
TS-150-BLA;T-shirts;LYO;Lyon;XL;87
TS-150-BLA;T-shirts;LYO;Lyon;XXL;43
TS-150-BLA;T-shirts;BCN;Barcelone;XS;21
TS-150-BLA;T-shirts;BCN;Barcelone;S;58
TS-150-BLA;T-shirts;BCN;Barcelone;M;101
TS-150-BLA;T-shirts;BCN;Barcelone;L;94
TS-150-BLA;T-shirts;BCN;Barcelone;XL;58
TS-150-BLA;T-shirts;BCN;Barcelone;XXL;29
TS-150-BLA;T-shirts;MIL;Milan;XS;17
TS-150-BLA;T-shirts;MIL;Milan;S;46
TS-150-BLA;T-shirts;MIL;Milan;M;81
TS-150-BLA;T-shirts;MIL;Milan;L;75
TS-150-BLA;T-shirts;MIL;Milan;XL;46
TS-150-BLA;T-shirts;MIL;Milan;XXL;23
TS-150-NOI;T-shirts;LIL;Lille;XS;65
TS-150-NOI;T-shirts;LIL;Lille;S;175
TS-150-NOI;T-shirts;LIL;Lille;M;306
TS-150-NOI;T-shirts;LIL;Lille;L;284
TS-150-NOI;T-shirts;LIL;Lille;XL;175
TS-150-NOI;T-shirts;LIL;Lille;XXL;87
TS-150-NOI;T-shirts;LYO;Lyon;XS;57
TS-150-NOI;T-shirts;LYO;Lyon;S;154
TS-150-NOI;T-shirts;LYO;Lyon;M;270
TS-150-NOI;T-shirts;LYO;Lyon;L;251
TS-150-NOI;T-shirts;LYO;Lyon;XL;154
TS-150-NOI;T-shirts;LYO;Lyon;XXL;77
TS-150-NOI;T-shirts;BCN;Barcelone;XS;38
TS-150-NOI;T-shirts;BCN;Barcelone;S;103
TS-150-NOI;T-shirts;BCN;Barcelone;M;180
TS-150-NOI;T-shirts;BCN;Barcelone;L;167
TS-150-NOI;T-shirts;BCN;Barcelone;XL;103
TS-150-NOI;T-shirts;BCN;Barcelone;XXL;51
TS-150-NOI;T-shirts;MIL;Milan;XS;30
TS-150-NOI;T-shirts;MIL;Milan;S;82
